approach,variant,configuration,runs,avg_total_latency_s,avg_stt_latency_s,avg_llm_latency_s,avg_tts_latency_s,route_valid_rate,error_count,source,notes
"1. Speech provider selection (STT/TTS)","Cloud STT + Cloud TTS","Google STT + llama3.2 + Google TTS",12,8.489,2.101,5.427,0.961,,0,"summary.csv","Baseline; cloud STT ~2.1s dominates the STT cost"
"1. Speech provider selection (STT/TTS)","Cloud STT + Local TTS","Google STT + llama3.2 + Piper TTS",12,5.689,2.079,2.760,0.851,,1,"summary.csv","Local Piper TTS latency ~= Google TTS"
"1. Speech provider selection (STT/TTS)","Local STT + Cloud TTS","faster-whisper + llama3.2 + Google TTS",12,4.305,0.590,2.746,0.969,,0,"summary.csv","Local STT cuts STT from ~2.1s to ~0.6s"
"1. Speech provider selection (STT/TTS)","Local STT + Local TTS","faster-whisper + llama3.2 + Piper TTS",16,5.348,0.519,3.909,0.920,,2,"summary.csv","Fully local; LLM latency here mixes several run configs"
"2. LLM prompt shortening","Full prompt","llama3.2; local STT/TTS; prompt_mode=full",12,7.312,0.617,5.779,0.916,0.667,0,"prompt_mode_summary.csv","Verbose prompt = slowest LLM step (~5.8s)"
"2. LLM prompt shortening","Compact","llama3.2; local STT/TTS; prompt_mode=compact",12,3.958,0.621,2.427,0.910,0.667,0,"prompt_mode_summary.csv","Short prompt ~2.4x faster LLM than full; same validity"
"2. LLM prompt shortening","Compact v2","llama3.2; local STT/TTS; prompt_mode=compact_v2",12,3.512,0.610,2.001,0.901,0.667,0,"prompt_mode_summary.csv","Fastest prompt (~2.0s LLM); adds stress-case clarify rules"
"3. Model swapping","llama3.2 (3B)","compact_v2; local STT/TTS; llm_only",12,4.543,0.603,3.032,0.908,0.667,0,"model_summary.csv","Reference model"
"3. Model swapping","llama3.2:1b","compact_v2; local STT/TTS; llm_only",12,4.060,0.616,2.578,0.866,0.909,1,"model_summary.csv","Faster + higher validity than 3B; 1 run errored"
"3. Model swapping","qwen2.5:1.5b","compact_v2; local STT/TTS; llm_only",12,4.145,0.640,2.596,0.909,0.167,0,"model_summary.csv","Fast but poor route validity (0.167)"
"3. Model swapping","qwen2.5:3b","compact_v2; local STT/TTS; llm_only",12,4.644,0.641,3.103,0.900,1.000,0,"model_summary.csv","Best validity (1.0) but slowest of the set"
"3. Model swapping","gemma2:2b","compact_v2; local STT/TTS; llm_only",12,4.281,0.777,2.574,0.930,0.917,0,"model_summary.csv","Good balance; but model swap alone stays ~4s+ total"
"4. Rule-based pre-router","LLM only (baseline)","llama3.2 compact_v2; local STT/TTS; initial round",12,4.446,,,,0.750,,"router benchmark (initial round)","Comparison baseline; 0/12 handled by rules"
"4. Rule-based pre-router","Pre-router + LLM fallback","llama3.2 compact_v2; local STT/TTS; initial round",12,1.785,,,,0.833,,"router benchmark (initial round)","Handled 8/12 by rules; first run below the 2.5s target"
"4. Rule-based pre-router","Pre-router + LLM fallback (improved)","llama3.2 compact_v2; local STT/TTS; after rule + normalization improvements",12,2.235,0.648,0.692,0.895,1.000,0,"router_mode_summary.csv","Handled 11/12 by rules; route_valid 1.0; avg routing time ~0.69s (LLM skipped on obvious cases)"
"5. Route normalization (LLM post-processing)","Sub-route / arrow repair","applies to LLM fallback path; all prompt modes",,,,,,,"offline tests (test_routing_logic.py)","Expands e.g. 'Failed Transfer' -> full path and fixes '->'; negligible latency; raises route_valid on the LLM path"
