run_id,timestamp,audio_file,stt_provider,stt_model,llm_provider,llm_model,tts_provider,tts_voice,transcript,predicted_top_level_route,predicted_final_route,predicted_action,response_to_customer,confidence,route_valid,output_audio_path,stt_latency_seconds,llm_latency_seconds,tts_latency_seconds,total_latency_seconds,error
98e3cb44,2026-07-05T12:01:00Z,input_audio_16k/A001_lost_card_clean.wav,google,,ollama,llama3.2,google,,I lost my debit card and I need to report it before someone uses it.,Card Services,Card Services > Lost or Stolen Card,route,I'm happy to help you report your lost debit card.,0.9,True,/Users/jay/Desktop/AICC/output/audio/98e3cb44_response.mp3,1.833,3.015,0.625,5.473,
d287424d,2026-07-05T12:01:07Z,input_audio_16k/A001_lost_card_clean.wav,local,base.en,ollama,llama3.2,local,en_US-lessac-medium,I lost my debit card and I need to report it before someone uses it.,Account Access,,clarify,I'm happy to help you with changing your contact information. Can you please tell me a little bit more about what you'd like to change?,0.9,True,/Users/jay/Desktop/AICC/output/audio/d287424d_response.wav,0.542,3.04,1.045,4.627,
91873a3b,2026-07-05T12:01:13Z,input_audio_16k/A001_lost_card_clean.wav,google,,ollama,llama3.2,local,en_US-lessac-medium,I lost my debit card and I need to report it before someone uses it.,Card Services,Card Services > Lost or Stolen Card,route,I'd like to report that your debit card is lost. Can you please provide me with some additional information so I can assist you further?,0.9,True,/Users/jay/Desktop/AICC/output/audio/91873a3b_response.wav,1.743,3.105,0.98,5.828,
85edc493,2026-07-05T12:01:19Z,input_audio_16k/A001_lost_card_clean.wav,local,base.en,ollama,llama3.2,google,,I lost my debit card and I need to report it before someone uses it.,Card Services,Card Services > Lost or Stolen Card,route,Please provide us with your account number so we can assist you in replacing your card.,0.9,True,/Users/jay/Desktop/AICC/output/audio/85edc493_response.mp3,0.538,2.814,0.837,4.189,
10f5abce,2026-07-05T12:01:24Z,input_audio_16k/A002_fraud_clean.wav,google,,ollama,llama3.2,google,,I see a charge on my card that I do not recognize and I want to dispute it.,Card Services,Card Services > Fraud or Suspicious Transaction,route,We're investigating this transaction. Can you please provide your account number and we'll look into it further?,0.9,True,/Users/jay/Desktop/AICC/output/audio/10f5abce_response.mp3,1.965,5.917,1.079,8.961,
fa04eced,2026-07-05T12:01:34Z,input_audio_16k/A002_fraud_clean.wav,local,base.en,ollama,llama3.2,local,en_US-lessac-medium,I see a charge on my car that I do not recognize and I want to dispute it.,Card Services,Fraud or Suspicious Transaction,route,I'm happy to help you investigate this charge on your card.,0.8,False,/Users/jay/Desktop/AICC/output/audio/fa04eced_response.wav,0.581,5.643,0.933,7.157,
b0af64d8,2026-07-05T12:01:42Z,input_audio_16k/A002_fraud_clean.wav,google,,ollama,llama3.2,local,en_US-lessac-medium,I see a charge on my card that I do not recognize and I want to dispute it.,Card Services,Fraud or Suspicious Transaction,route,I'd like to review your account for any suspicious activity. Can you please provide more information about the unrecognized charge?,0.9,False,/Users/jay/Desktop/AICC/output/audio/b0af64d8_response.wav,2.239,3.106,0.965,6.31,
007f772d,2026-07-05T12:01:49Z,input_audio_16k/A002_fraud_clean.wav,local,base.en,ollama,llama3.2,google,,I see a charge on my car that I do not recognize and I want to dispute it.,Account Access,,clarify,I'd like to clarify your concern about the unrecognized charge on your car. Can you please provide more details or information about what happened?,0.8,True,/Users/jay/Desktop/AICC/output/audio/007f772d_response.mp3,0.584,2.715,1.391,4.69,
7f9d5cf8,2026-07-05T12:01:55Z,input_audio_16k/A003_failed_transfer_clean.wav,google,,ollama,llama3.2,google,,"I tried to transfer money from my checking account to my savings account, but the transfer failed,",Transfers and Payments,Failed Transfer,route,Our system is currently experiencing issues with transfers. Please try again later.,0.9,False,/Users/jay/Desktop/AICC/output/audio/7f9d5cf8_response.mp3,2.052,5.566,1.037,8.655,
3f0124a7,2026-07-05T12:02:05Z,input_audio_16k/A003_failed_transfer_clean.wav,local,base.en,ollama,llama3.2,local,en_US-lessac-medium,"I tried to transfer money from my checking account to my savings account, but the transfer failed.",Transfers and Payments,Failed Transfer,route,"I apologize for the issue with your transfer. Can you please tell me more about what happened, such as the amount and date of the transfer?",1.0,False,/Users/jay/Desktop/AICC/output/audio/3f0124a7_response.wav,0.56,6.105,1.068,7.733,
716c33f3,2026-07-05T12:02:13Z,input_audio_16k/A003_failed_transfer_clean.wav,google,,ollama,llama3.2,local,en_US-lessac-medium,"I tried to transfer money from my checking account to my savings account, but the transfer failed,",Transfers and Payments,Failed Transfer,offer_human_or_fallback,Can you please provide more details about the failed transfer so I can assist you better?,0.8,False,/Users/jay/Desktop/AICC/output/audio/716c33f3_response.wav,2.097,2.935,0.877,5.909,
123f2416,2026-07-05T12:02:20Z,input_audio_16k/A003_failed_transfer_clean.wav,local,base.en,ollama,llama3.2,google,,"I tried to transfer money from my checking account to my savings account, but the transfer failed.",Transfers and Payments,Failed Transfer,route,Can you please provide more information about the error message you received or try the transfer again?,0.9,False,/Users/jay/Desktop/AICC/output/audio/123f2416_response.mp3,0.578,3.287,0.885,4.75,
